10/2016, 1.2961
11/2016, 1.2293
12/2016, 1.2399
01/2017, 1.2374
02/2017, 1.2343
03/2017, 1.2453
04/2017, 1.2475
05/2017, 1.2810
06/2017, 1.2949
07/2017, 1.2664
08/2017, 1.3042
09/2017, 1.2795
10/2017, 1.3564
11/2017, 1.317
12/2017, 1.3284
01/2018, 1.3406
02/2018, 1.4223
03/2018, 1.3979
04/2018, 1.4065
05/2018, 1.4234
06/2018, 1.3342
07/2018, 1.3176
08/2018, 1.3049
09/2018, 1.2909
10/2018, 1.3153
11/2018, 1.2912
12/2018, 1.2778
01/2019, 1.2643
02/2019, 1.3062
03/2019, 1.3064
04/2019, 1.3188
05/2019, 1.3049
06/2019, 1.2659
07/2019, 1.2632
08/2019, 1.25
09/2019, 1.213
10/2019, 1.2483
11/2019, 1.2882
12/2019, 1.2912
01/2020, 1.3071
02/2020, 1.314
03/2020, 1.2952
04/2020, 1.1763
05/2020, 1.2327
06/2020, 1.227
07/2020, 1.254
08/2020, 1.2732
09/2020, 1.3184
10/2020, 1.2763
11/2020, 1.3163
12/2020, 1.3303
01/2021, 1.3497
02/2021, 1.3632
03/2021, 1.4051
04/2021, 1.3721
05/2021, 1.393
06/2021, 1.4146
07/2021, 1.3969
08/2021, 1.3674
09/2021, 1.3757
10/2021, 1.3646
11/2021, 1.3815
12/2021, 1.3465
01/2022, 1.3215
02/2022, 1.3629
03/2022, 1.3579
04/2022, 1.3212
05/2022, 1.3048
06/2022, 1.2471
07/2022, 1.2309
08/2022, 1.1996
09/2022, 1.1821
10/2022, 1.1331
11/2022, 1.1259
12/2022, 1.2065
01/2023, 1.2406
02/2023, 1.2392
03/2023, 1.2002
04/2023, 1.2231
05/2023, 1.2450
06/2023, 1.2366
07/2023, 1.2732
08/2023, 1.2886
09/2023, 1.2631
10/2023, 1.2367
11/2023, 1.2188
12/2023, 1.2536
01/2024, 1.2651
02/2024, 1.2690
03/2024, 1.2614
04/2024, 1.2693
05/2024, 1.2457
06/2024, 1.2709
07/2024, 1.2732
08/2024, 1.3033
09/2024, 1.3032
10/2024, 1.3211
11/2024, 1.2952
12/2024, 1.2662
01/2025, 1.2707
02/2025, 1.2357
03/2025, 1.2585
04/2025, 1.2978
05/2025, 1.3271
06/2025, 1.3412
07/2025, 1.3451
08/2025, 1.3541
09/2025, 1.3473
10/2025, 1.3647
11/2025, 1.3328
